id,name,year,round_name,session,lap,corner,corner_type,driver_attacking,driver_defending,ruling,ruling_category,penalty_seconds,fia_doc_title,fia_doc_url,steward_rationale,closing_speed_delta,overlap_pct_at_apex,had_inside_line,had_apex_possession,contact_occurred,tyre_age_delta,race_progression
piastri_lawson_brazil_2024,"Piastri vs Lawson - Brazil Turn 1",2024,"São Paulo Grand Prix",Sprint,33,1,hairpin,PIA,LAW,penalized,causing_collision,10,"Doc 48 - Offence - Car 81 - Causing a collision","https://www.fia.com/sites/default/files/decision-document/2024_brazilian_grand_prix_-_infringement_-_car_81_-_causing_a_collision.pdf","Car 81 attempted an inside pass at Turn 1 but did not have front axle alongside Car 30's cockpit at the apex. Car 81 locked wheels and caused contact with Car 30.",28.4,0.48,1,0,1,6,0.46
lawson_perez_vegas_2024,"Lawson vs Perez - Las Vegas Turn 14",2024,"Las Vegas Grand Prix",Race,28,14,chicane,LAW,PER,no_action,racing_incident,0,"Doc 41 - Stewards Decision - Turn 14 incident","https://www.fia.com/sites/default/files/decision-document/2024_las_vegas_grand_prix_-_decision_-_turn_14_incident_cars_30_and_11.pdf","Car 30 committed to an inside pass following DRS straight, achieving significant overlap (front axle past Car 11's cockpit) prior to apex. Both cars navigated the chicane with minimal contact.",31.2,0.62,1,1,1,3,0.56
verstappen_norris_austin_2024,"Verstappen vs Norris - Austin Turn 12",2024,"United States Grand Prix",Race,52,12,hairpin,NOR,VER,penalized,leaving_track_and_advantage,5,"Doc 69 - Infringement - Car 4 - Leaving track and gaining advantage","https://www.fia.com/sites/default/files/decision-document/2024_united_states_grand_prix_-_infringement_-_car_4_-_leaving_the_track_and_gaining_an_advantage.pdf","Car 4 attempted an overtake on the outside of Turn 12. Car 1 had front axle ahead at apex and held line rights. Both cars left the track, but Car 4 completed overtake off track and did not return position.",18.5,0.78,0,0,0,-8,0.93
verstappen_norris_mexico_t4_2024,"Verstappen vs Norris - Mexico Turn 4",2024,"Mexico City Grand Prix",Race,10,4,chicane,NOR,VER,penalized,forcing_off_track,10,"Doc 29 - Infringement - Car 1 - Forcing Car 4 off track","https://www.fia.com/sites/default/files/decision-document/2024_mexico_city_grand_prix_-_infringement_-_car_1_-_forcing_car_4_off_track.pdf","Car 4 had significant overlap alongside Car 1 on the outside at corner entry and apex. Car 1 did not give racing room at apex/exit, forcing Car 4 onto grass run-off.",22.0,0.85,0,1,0,0,0.14
verstappen_norris_mexico_t8_2024,"Verstappen vs Norris - Mexico Turn 8",2024,"Mexico City Grand Prix",Race,10,8,high_speed,VER,NOR,penalized,leaving_track_and_advantage,10,"Doc 30 - Infringement - Car 1 - Leaving track and gaining advantage","https://www.fia.com/sites/default/files/decision-document/2024_mexico_city_grand_prix_-_infringement_-_car_1_-_leaving_the_track_and_gaining_an_advantage.pdf","Car 1 lunged down the inside at Turn 8 at excessive speed, carrying both cars off the track and gaining lasting advantage by overtaking Car 4 off circuit.",34.5,0.50,1,0,0,0,0.14
sainz_perez_baku_2024,"Sainz vs Perez - Baku Straight / Turn 2 Exit",2024,"Azerbaijan Grand Prix",Race,50,2,straight,PER,SAI,no_action,racing_incident,0,"Doc 53 - Decision - Car 11 and Car 55 Incident","https://www.fia.com/sites/default/files/decision-document/2024_azerbaijan_grand_prix_-_decision_-_car_11_and_car_55_incident_turn_2.pdf","Both cars were accelerating side-by-side on the straight after Turn 2. Neither driver made an erratic steering move; lateral convergence caused wheel-to-wheel contact into barrier. Neither driver predominantly to blame.",8.0,0.92,0,1,1,2,0.98
verstappen_norris_austria_2024,"Verstappen vs Norris - Austria Turn 3",2024,"Austrian Grand Prix",Race,64,3,hairpin,NOR,VER,penalized,causing_collision,10,"Doc 65 - Infringement - Car 1 - Causing a collision","https://www.fia.com/sites/default/files/decision-document/2024_austrian_grand_prix_-_infringement_-_car_1_-_causing_a_collision.pdf","Car 1 moved to the left under braking and turn-in while defending against Car 4 on the outside. Contact occurred between left-rear of Car 1 and right-front of Car 4, causing double punctures.",16.2,0.82,0,0,1,0,0.90
russell_piastri_canada_2024,"Russell vs Piastri - Montreal Turn 13",2024,"Canadian Grand Prix",Race,63,13,chicane,RUS,PIA,no_action,racing_incident,0,"Doc 55 - Stewards Decision - Turn 13 Chicane Incident","https://www.fia.com/sites/default/files/decision-document/2024_canadian_grand_prix_-_decision_-_turn_13_incident_cars_63_and_81.pdf","Car 63 attempted an inside overtake into final chicane, touched wheels with Car 81, and cut across the chicane escape road without retaining position. Deemed hard racing with no lasting advantage.",24.1,0.55,1,0,1,4,0.90
hamilton_colapinto_vegas_2024,"Hamilton vs Colapinto - Las Vegas Turn 1",2024,"Las Vegas Grand Prix",Race,15,1,hairpin,HAM,COL,no_action,clean_overtake,0,"FIA Official Race Record - Lap 15 Lead Change","https://www.fia.com/documents/season/season-2024-2043/championships/fia-formula-one-world-championship-14","Car 44 completed a clean inside overtake into Turn 1 with 75% overlap at apex, full car control, and leaving sufficient racing room on outside.",19.0,0.75,1,1,0,-5,0.30
alonso_russell_melbourne_2024,"Alonso vs Russell - Melbourne Turn 6",2024,"Australian Grand Prix",Race,57,6,high_speed,RUS,ALO,penalized,potentially_dangerous_driving,20,"Doc 56 - Infringement - Car 14 - Potentially dangerous driving","https://www.fia.com/sites/default/files/decision-document/2024_australian_grand_prix_-_infringement_-_car_14_-_potentially_dangerous_driving.pdf","Car 14 lifted off throttle and downshifted 100 meters earlier than normal on approach to Turn 6, creating extraordinary closing speed and wake turbulence that contributed to Car 63's crash.",45.0,0.05,0,0,0,14,0.98
